car_id,scraped_at,is_accident_free,inspection_grade,has_sunroof,has_led_lamp,has_parking_sensor,has_rear_camera,has_auto_ac,has_smart_key,has_navigation,has_heated_seat,has_ventilated_seat,has_leather_seat,num_keys,has_tinting,tire_tread_front,tire_tread_rear,region,is_encar_direct,has_warranty
38912363,2025-11-24 18:49:01,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,그랜저 (GN7)   2.5 가솔린 2WD 익스클루시브 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40977853,2025-11-24 18:49:04,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,쏘나타 (DN8)   2.0 프리미엄 플러스 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40866695,2025-11-24 18:49:06,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,G70   2.0T 엘리트 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40898922,2025-11-24 18:49:08,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,스팅어   3.3 터보 AWD GT 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40996241,2025-11-24 18:49:11,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,뷰티풀 코란도   가솔린 1.5 2WD C5 플러스 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
41017037,2025-11-24 18:49:13,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,더 뉴 렉스턴 스포츠 칸   디젤 2.2 4WD 프레스티지 인천 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40928058,2025-11-24 18:49:14,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40328155,2025-11-24 18:49:17,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,K7 프리미어   2.5 GDI 노블레스 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
39703016,2025-11-24 18:49:19,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40599198,2025-11-24 18:49:22,0,excellent,1,1,1,1,1,1,1,1,1,1,,0.0,,,더 뉴 그랜저 IG 하이브리드   프리미엄 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,1
39988680,2025-11-24 18:49:24,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,리얼 뉴 콜로라도   3.6 Z71-X 미드나잇 4WD 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
