car_id,scraped_at,is_accident_free,inspection_grade,has_sunroof,has_led_lamp,has_parking_sensor,has_rear_camera,has_auto_ac,has_smart_key,has_navigation,has_heated_seat,has_ventilated_seat,has_leather_seat,num_keys,has_tinting,tire_tread_front,tire_tread_rear,region,is_encar_direct,has_warranty
40878492,2025-11-24 18:47:23,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40997548,2025-11-24 18:47:26,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,그랜저 하이브리드 (GN7)   익스클루시브 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40986338,2025-11-24 18:47:28,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,디 올 뉴 니로   트렌디 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
39530287,2025-11-24 18:47:31,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,코나 (SX2)   가솔린 1.6 터보 4WD 인스퍼레이션 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40818183,2025-11-24 18:47:33,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40878393,2025-11-24 18:47:35,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40990813,2025-11-24 18:47:38,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40971387,2025-11-24 18:47:40,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40297547,2025-11-24 18:47:42,0,good,1,0,1,1,1,1,1,1,1,1,,,,,코나   1.6 터보 2WD 모던 초이스 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40284458,2025-11-24 18:47:43,0,good,1,1,1,1,1,1,1,1,1,1,,,,,K5 3세대   2.0 시그니처 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
39963915,2025-11-24 18:47:45,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,기타   기타 전기차 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40922657,2025-11-24 18:47:48,0,good,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 G70   가솔린 2.0T 4WD 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40915663,2025-11-24 18:47:50,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 쏘렌토 4세대   HEV 1.6 2WD 시그니처 X Line 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40644974,2025-11-24 18:47:53,0,good,1,1,1,1,1,1,1,1,1,1,,,,,스포티지 5세대 하이브리드   시그니처 2WD 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40849222,2025-11-24 18:47:55,0,good,1,1,1,1,1,1,1,1,1,1,,,,,K8 하이브리드   노블레스 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40997165,2025-11-24 18:47:58,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,쏘나타 하이브리드 (DN8)   프리미엄 플러스 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40954779,2025-11-24 18:48:01,0,good,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 그랜저 IG 하이브리드   르블랑 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
41021710,2025-11-24 18:48:03,0,good,1,1,1,1,1,1,1,1,1,1,,,,,K8 하이브리드   시그니처 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40555934,2025-11-24 18:48:05,0,good,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 쏘렌토 4세대   HEV 1.6 4WD 그래비티 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40094564,2025-11-24 18:48:07,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,기타   기타 전기차 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40134682,2025-11-24 18:48:09,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,기타   기타 전기차 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40964008,2025-11-24 18:48:11,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
41007604,2025-11-24 18:48:13,0,good,1,1,1,1,1,1,1,1,1,1,,,,,그랜저 하이브리드 (GN7)   프리미엄 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40805860,2025-11-24 18:48:15,0,good,1,0,1,1,1,1,1,1,1,1,,,,,베뉴   1.6 모던 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40804753,2025-11-24 18:48:18,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 카니발 4세대   HEV 9인승 시그니처 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40154217,2025-11-24 18:48:20,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,G80 (RG3)   가솔린 2.5 터보 AWD 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
41031564,2025-11-24 18:48:23,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
41017328,2025-11-24 18:48:25,0,good,1,1,1,1,1,1,1,1,1,1,,,,,카니발 4세대   9인승 시그니처 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40990226,2025-11-24 18:48:27,0,good,1,1,1,1,1,1,1,1,1,1,,,,,G80 (RG3)   가솔린 2.5 터보 AWD 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40872826,2025-11-24 18:48:29,0,good,1,1,1,1,1,1,1,1,1,1,,,,,카니발 4세대   가솔린 9인승 시그니처 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
39998568,2025-11-24 18:48:32,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 K8 하이브리드   시그니처 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40848445,2025-11-24 18:48:34,0,good,1,1,1,1,1,1,1,1,1,1,,,,,GV80   2.5T 가솔린 2WD 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40654220,2025-11-24 18:48:36,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40073624,2025-11-24 18:48:38,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 K3 2세대   1.6 트렌디 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40073609,2025-11-24 18:48:41,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,스포티지 5세대   가솔린 1.6 터보 2WD 프레스티지 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
39838379,2025-11-24 18:48:44,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 아반떼 (CN7)   1.6 스마트 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40817573,2025-11-24 18:48:46,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40905309,2025-11-24 18:48:48,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,GV70   2.5T 가솔린 AWD 인천 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40935529,2025-11-24 18:48:51,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,GV70   2.5T 가솔린 AWD 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
39370553,2025-11-24 18:48:54,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 K8 하이브리드   노블레스 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40433079,2025-11-24 18:48:56,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,캐스퍼   터보 인스퍼레이션 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40536187,2025-11-24 18:48:59,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,코나   1.6 터보 2WD 모던 아트 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
