car_id,scraped_at,is_accident_free,inspection_grade,has_sunroof,has_led_lamp,has_parking_sensor,has_rear_camera,has_auto_ac,has_smart_key,has_navigation,has_heated_seat,has_ventilated_seat,has_leather_seat,num_keys,has_tinting,tire_tread_front,tire_tread_rear,region,is_encar_direct,has_warranty
41001505,2025-11-24 18:47:34,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,뉴 라보   접이식탑차 롱카고 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40617869,2025-11-24 18:47:36,0,good,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
39574332,2025-11-24 18:47:39,0,good,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
39906905,2025-11-24 18:47:42,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40088848,2025-11-24 18:47:45,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40952294,2025-11-24 18:47:48,0,excellent,1,0,1,1,1,1,1,1,1,1,,0.0,,,그랜저 HG   HG220 디젤 모던 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,1
40828763,2025-11-24 18:47:50,0,normal,1,0,1,1,1,1,1,1,1,1,,0.0,,,올 뉴 K7   3.0 LPI 럭셔리 (렌터카) 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40946418,2025-11-24 18:47:52,0,good,1,0,1,1,1,1,1,1,1,1,,,,,더 뉴 모하비   디젤 3.0 4WD 프레지던트 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40788426,2025-11-24 18:47:54,0,normal,1,0,1,1,1,1,1,1,1,1,,0.0,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40896360,2025-11-24 18:47:57,0,excellent,1,0,1,1,1,1,1,1,1,1,,0.0,,,올 뉴 모닝 (JA)   프레스티지 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,1
40816337,2025-11-24 18:47:58,0,good,1,0,1,1,1,1,1,1,1,1,,,,,올 뉴 쏘렌토   디젤 2.0 2WD 프레스티지 인천 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40856692,2025-11-24 18:48:01,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,더 뉴 카니발   9인승 럭셔리 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40995675,2025-11-24 18:48:04,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,뉴 라보   접이식탑차 롱카고 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40950519,2025-11-24 18:48:06,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,아이오닉5   롱레인지 AWD 익스클루시브 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40806936,2025-11-24 18:48:08,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,쏘울 EV   EV 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
39295164,2025-11-24 18:48:11,0,good,1,1,1,1,1,1,1,1,1,1,,,,,올 뉴 K7   2.4 GDI 리미티드 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40635005,2025-11-24 18:48:14,0,normal,1,0,1,1,1,1,1,1,1,1,,0.0,,,더 뉴 레이   스탠다드 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40728569,2025-11-24 18:48:15,0,good,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40705113,2025-11-24 18:48:19,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,에쿠스(신형)   VS380 프리미엄 인천 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
41033176,2025-11-24 18:48:20,0,good,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
38101754,2025-11-24 18:48:23,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
