car_id,scraped_at,is_accident_free,inspection_grade,has_sunroof,has_led_lamp,has_parking_sensor,has_rear_camera,has_auto_ac,has_smart_key,has_navigation,has_heated_seat,has_ventilated_seat,has_leather_seat,num_keys,has_tinting,tire_tread_front,tire_tread_rear,region,is_encar_direct,has_warranty
40297546,2025-11-24 18:24:55,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,3시리즈 (G20)   320i M 스포츠 인천 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40738292,2025-11-24 18:24:56,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,폴스타 2   롱레인지 싱글모터 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40922852,2025-11-24 18:24:59,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,GLC-클래스 X253   GLC300 4MATIC 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40405576,2025-11-24 18:25:01,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,i5 (G60)   eDrive 40 M 스포츠 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40810199,2025-11-24 18:25:04,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,S-클래스 W223   S450L 4MATIC 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40705291,2025-11-24 18:25:06,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,모델 3   롱 레인지 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40992566,2025-11-24 18:25:08,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,디스커버리 스포츠   2.0 TD4 HSE 럭셔리 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
39597190,2025-11-24 18:25:10,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,e-2008 2세대   EV GT 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40830282,2025-11-24 18:25:13,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40761766,2025-11-24 18:25:15,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40922483,2025-11-24 18:25:17,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,5시리즈 (G60)   520i M 스포츠 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40617089,2025-11-24 18:25:19,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40820499,2025-11-24 18:25:22,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40815829,2025-11-24 18:25:24,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40992096,2025-11-24 18:25:26,0,normal,1,0,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40965280,2025-11-24 18:25:28,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,A6 (C8)   40 TDI 프리미엄 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
