car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
40065732,0,normal,1,1,1,1,1
39185214,0,normal,1,1,1,1,1
39901211,0,normal,1,1,1,1,1
41021357,0,normal,1,1,1,1,1
39477690,1,normal,1,1,1,1,1
39365105,0,normal,1,1,1,1,1
41007266,0,normal,1,1,1,1,1
40909169,0,normal,1,1,1,1,1
40914619,0,normal,1,1,1,1,1
40816396,0,normal,1,1,1,1,1
40932026,0,normal,1,1,1,1,1
41024660,0,normal,1,1,1,1,1
41019708,0,normal,1,1,1,1,1
40158617,0,normal,1,1,1,1,1
40694361,0,normal,1,1,1,1,1
40396533,1,normal,1,1,1,1,1
40976879,0,normal,1,1,1,1,1
41023157,0,normal,1,1,1,1,1
37675952,0,normal,1,1,1,1,1
40683832,0,normal,1,1,1,1,1
40890286,0,normal,1,1,1,1,1
40713777,1,normal,1,1,1,1,1
40265154,0,normal,1,1,1,1,1
40457200,0,normal,1,1,1,1,1
40867441,1,normal,1,1,1,1,1
40766217,1,normal,1,1,1,1,1
40963909,1,normal,1,1,1,1,1
40725339,1,good,1,1,1,1,1
40418008,1,normal,1,1,1,1,1
40816238,0,normal,1,1,1,1,1
40809179,0,normal,1,1,1,1,1
39351747,1,normal,1,1,1,1,1
40899247,1,normal,1,1,1,1,1
39832157,1,normal,1,1,1,1,1
39424756,0,good,1,1,1,1,1
40995862,1,normal,1,1,1,1,1
40050257,1,normal,1,1,1,1,1
40220840,1,normal,1,1,1,1,1
40686369,0,normal,1,1,1,1,1
40032771,0,normal,1,1,1,1,1
40352643,0,normal,0,0,0,0,0
40587432,1,normal,1,1,1,1,1
40403772,0,normal,1,1,1,1,1
40976013,1,normal,1,1,1,1,1
38667198,1,good,1,1,1,1,1
40814487,1,normal,1,1,1,1,1
38798897,1,normal,1,1,1,1,1
38479180,1,normal,1,1,1,1,1
40087829,1,normal,1,1,1,1,1
41032149,0,normal,1,1,1,1,1
40500113,0,good,1,1,1,1,1
40351364,1,normal,1,1,1,1,1
39831932,1,normal,1,1,1,1,1
40575470,0,good,1,1,1,1,1
36745434,1,normal,1,1,1,1,1
40797224,1,good,1,1,1,1,1
40886102,0,normal,1,1,1,1,1
39634645,1,good,1,1,1,1,1
40845791,1,normal,1,1,1,1,1
38061667,1,normal,1,1,1,1,1
40624445,0,good,1,1,1,1,1
40777592,1,normal,1,1,1,1,1
40621682,1,normal,1,1,1,1,1
27709245,0,normal,1,1,1,1,1
40282453,0,normal,1,1,1,1,1
41008337,1,normal,1,1,1,1,1
29629694,0,normal,1,1,1,1,1
39626482,1,normal,1,1,1,1,1
40546246,1,normal,1,1,1,1,1
41025833,1,normal,1,1,1,1,1
40816122,0,normal,1,1,1,1,1
39893107,0,normal,1,1,1,1,1
34264786,0,normal,1,1,1,1,1
39793941,0,normal,1,1,1,1,1
40572572,1,good,1,1,1,1,1
40965578,1,normal,1,1,1,1,1
40719203,1,normal,1,1,1,1,1
39414808,0,good,1,1,1,1,1
40348683,0,good,1,1,1,1,1
40206722,1,normal,1,1,1,1,1
40543558,0,normal,1,1,1,1,1
37326533,1,normal,1,1,1,1,1
39727208,0,normal,1,1,1,1,1
40987123,0,normal,1,1,1,1,1
40975390,1,good,1,1,1,1,1
39010608,1,normal,1,1,1,1,1
40630586,1,normal,1,1,1,1,1
40835824,1,normal,1,1,1,1,1
