차량유형,데이터수,MAE(만원),MAPE(%),R²,평균가격,최고가격
domestic,119319,376.6196064573386,15.144136637093972,0.6028528169955305,2093.2110644574627,19999.0
imported,49055,63.0176129007228,3.381432981343132,0.991739240870495,5536.651493221893,99999.0
